Time Period,Therapy Area,Geography Location,Hospital Type,Hospital Name,Manufacturer,Product Name,Patient Age,Patient Gender,Claims volume,Patient Count,HCP Count
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Abbott,TactiCath,0 - 18 years,Male,512,544,207
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Abbott,TactiCath,0 - 18 years,Male,552,445,192
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Abbott,TactiCath,0 - 18 years,Male,541,467,172
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Abbott,TactiCath,0 - 18 years,Male,537,462,181
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Abbott,TactiCath,0 - 18 years,Male,545,470,151
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Abbott,TactiCath,0 - 18 years,Male,602,509,227
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Abbott,TactiCath,0 - 18 years,Male,505,546,180
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Abbott,TactiCath,0 - 18 years,Male,586,478,204
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Abbott,TactiCath,0 - 18 years,Male,607,435,203
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Abbott,TactiCath,0 - 18 years,Male,675,452,183
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Abbott,TactiCath,0 - 18 years,Male,507,537,221
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Abbott,TactiCath,0 - 18 years,Male,580,457,183
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Abbott,TactiCath,0 - 18 years,Male,543,525,246
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Abbott,TactiCath,0 - 18 years,Male,539,518,209
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Abbott,TactiCath,0 - 18 years,Male,574,506,237
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Abbott,TactiCath,0 - 18 years,Male,560,506,180
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Abbott,TactiFlex,0 - 18 years,Male,103,85,11
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Abbott,TactiFlex,0 - 18 years,Male,108,85,13
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Abbott,TactiFlex,0 - 18 years,Male,107,83,12
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Abbott,TactiFlex,0 - 18 years,Male,112,87,16
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Abbott,TactiFlex,0 - 18 years,Male,112,80,12
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Abbott,TactiFlex,0 - 18 years,Male,109,82,18
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Abbott,TactiFlex,0 - 18 years,Male,108,81,17
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Abbott,TactiFlex,0 - 18 years,Male,118,83,19
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Abbott,TactiFlex,0 - 18 years,Male,103,82,17
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Abbott,TactiFlex,0 - 18 years,Male,120,80,19
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Abbott,TactiFlex,0 - 18 years,Male,112,87,10
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Abbott,TactiFlex,0 - 18 years,Male,105,87,10
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Abbott,TactiFlex,0 - 18 years,Male,116,85,18
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Abbott,TactiFlex,0 - 18 years,Male,118,90,10
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Abbott,TactiFlex,0 - 18 years,Male,110,80,14
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Abbott,TactiFlex,0 - 18 years,Male,105,84,12
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Biosense,Thermocool,0 - 18 years,Male,1327,866,471
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Biosense,Thermocool,0 - 18 years,Male,1354,873,419
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Biosense,Thermocool,0 - 18 years,Male,1009,858,459
